181069;44.10;1017.2;1.82;-3.81;-1.54;1.47
181074;44.10;1017.2;1.84;-3.77;-1.55;1.45
181078;44.10;1017.2;1.86;-3.73;-1.80;1.15
181083;44.10;1017.2;1.88;-3.69;-1.81;1.13
181087;44.10;1017.2;1.91;-3.64;-1.82;1.10
181092;44.10;1017.2;1.94;-3.59;-1.87;0.90
181098;44.20;1017.2;1.97;-3.52;-1.99;0.82
181102;44.20;1017.2;2.00;-3.47;-2.01;0.79
181108;44.20;1017.2;2.03;-3.40;-1.91;0.60
181112;44.20;1017.2;2.06;-3.34;-1.92;0.57
181118;44.30;1017.1;2.09;-3.25;-1.90;0.30
181123;44.30;1017.1;2.11;-3.18;-1.91;0.26
181127;44.30;1017.1;2.13;-3.12;-1.92;0.22
181132;44.30;1017.1;2.16;-3.05;-1.93;0.20
181136;44.40;1017.1;2.18;-2.98;-1.94;0.16
181141;44.40;1017.1;2.20;-2.92;-1.99;0.29
181155;44.40;1017.1;2.28;-2.74;-2.03;0.24
181161;44.40;1017.1;2.30;-2.67;-1.92;0.20
181165;44.40;1017.1;2.32;-2.61;-1.93;0.17
181171;44.40;1017.1;2.34;-2.55;-1.91;0.28
181175;44.40;1017.1;2.36;-2.50;-1.92;0.25
181180;44.50;1017.1;2.38;-2.45;-2.01;0.34
181184;44.50;1017.1;2.40;-2.41;-2.02;0.31
181189;44.50;1017.1;2.41;-2.36;-1.85;0.38
181193;44.50;1017.1;2.43;-2.32;-1.86;0.35
181199;44.60;1017.1;2.44;-2.27;-1.89;0.43
181203;44.60;1017.1;2.46;-2.23;-1.89;0.41
181209;44.60;1017.1;2.47;-2.19;-1.85;0.52
181213;44.60;1017.1;2.48;-2.16;-1.85;0.50
181219;44.80;1017.1;2.49;-2.12;-1.63;0.58
181223;44.80;1017.1;2.49;-2.09;-1.64;0.56
181228;44.80;1017.1;2.49;-2.06;-1.64;0.54
181232;44.80;1017.1;2.49;-2.04;-1.61;0.68
181237;44.80;1017.1;2.49;-2.01;-1.61;0.67
181241;44.80;1017.1;2.49;-2.00;-1.43;0.78
181246;44.80;1017.1;2.48;-1.98;-1.43;0.77
181251;44.80;1017.1;2.47;-1.96;-1.42;0.93
181256;45.00;1017.1;2.47;-1.95;-1.42;0.93
181261;45.00;1017.1;2.46;-1.94;-1.31;0.97
181266;45.00;1017.1;2.45;-1.93;-1.30;0.97
181271;45.00;1017.1;2.43;-1.93;-1.12;1.07
181276;45.10;1017.0;2.41;-1.92;-1.11;1.07
181280;45.10;1017.0;2.39;-1.92;-1.05;1.23
181285;45.30;1017.0;2.37;-1.92;-1.04;1.23
181299;45.30;1017.0;2.30;-1.97;-0.93;1.60
181304;45.30;1017.0;2.28;-1.98;-0.92;1.61
181309;45.30;1017.0;2.24;-2.00;-0.63;1.67
181314;45.40;1017.0;2.21;-2.02;-0.61;1.68
181319;45.40;1017.0;2.17;-2.05;-0.47;1.98
181324;45.40;1017.0;2.13;-2.08;-0.45;2.00
181328;45.40;1017.0;2.09;-2.11;-0.43;2.02
181333;45.50;1017.0;2.05;-2.14;-0.26;2.03
181338;45.50;1017.0;2.00;-2.17;-0.23;2.05
181342;45.50;1017.0;1.96;-2.19;-0.12;2.04
181346;45.50;1017.0;1.91;-2.22;-0.09;2.05
181352;45.70;1017.0;1.86;-2.26;-0.07;2.26
181356;45.70;1017.0;1.81;-2.29;-0.04;2.28
181362;45.70;1017.0;1.75;-2.33;0.08;2.27
181366;45.70;1017.0;1.71;-2.37;0.10;2.29
181372;45.70;1017.0;1.65;-2.40;0.06;2.23
181376;45.70;1017.0;1.61;-2.43;0.08;2.25
181381;45.70;1017.0;1.56;-2.45;0.15;2.13
181385;45.70;1017.0;1.51;-2.48;0.18;2.15
181390;45.80;1017.0;1.47;-2.49;0.20;2.00
181394;45.80;1017.0;1.42;-2.51;0.23;2.02
181400;45.80;1017.0;1.36;-2.53;0.23;1.86
181404;45.80;1017.0;1.32;-2.54;0.26;1.88
181410;45.90;1017.0;1.26;-2.54;0.24;1.68
181414;45.90;1017.0;1.22;-2.55;0.26;1.69
181420;45.90;1017.0;1.17;-2.53;0.15;1.32
181425;45.90;1017.0;1.13;-2.52;0.17;1.32
181429;46.00;1017.0;1.10;-2.51;0.20;1.32
181434;46.00;1016.9;1.06;-2.49;0.18;1.01
181438;46.00;1016.9;1.02;-2.47;0.21;1.00
181443;46.00;1016.9;0.99;-2.44;0.06;0.81
181447;46.00;1016.9;0.96;-2.41;0.08;0.79
181453;46.10;1016.9;0.93;-2.36;0.00;0.55
181457;46.10;1016.9;0.90;-2.33;0.02;0.53
181462;46.10;1016.9;0.87;-2.27;-0.01;0.35
181467;46.30;1016.9;0.85;-2.23;0.01;0.32
181472;46.30;1016.9;0.82;-2.17;-0.03;0.08
181477;46.30;1016.9;0.80;-2.12;-0.01;0.05
181481;46.50;1016.9;0.78;-2.06;-0.03;-0.16
181496;46.50;1016.9;0.71;-1.86;-0.03;-0.35
181501;46.50;1016.9;0.70;-1.79;-0.16;-0.35
181506;46.60;1016.9;0.68;-1.73;-0.15;-0.39
